ID;MUN_OR;NOME_ORIGEM;HIERAR_CID;MUN_DEST;NOME_DESTINO;HIERAR_CID_D
26012012616001;2601201;Arcoverde;3A;2616001;Venturosa;5
26012012606408;2601201;Arcoverde;3A;2606408;Gravatá;4A
26012012602803;2601201;Arcoverde;3A;2602803;Buíque;5
26012012611101;2601201;Arcoverde;3A;2611101;Petrolina;2C
26013002604106;2601300;Barra de Guabiraba;5;2604106;Caruaru;2B
26013002611606;2601300;Barra de Guabiraba;5;2611606;Recife;1C
26013002602308;2601300;Barra de Guabiraba;5;2602308;Bonito;5
26013002601904;2601300;Barra de Guabiraba;5;2601904;Bezerros;5
26013002610004;2601300;Barra de Guabiraba;5;2610004;Palmares;3B
26013002603504;2601300;Barra de Guabiraba;5;2603504;Camocim de São Félix;5
26013002604809;2601300;Barra de Guabiraba;5;2604809;Cortês;5
26013002612000;2601300;Barra de Guabiraba;5;2612000;Sairé;5
26013002612455;2601300;Barra de Guabiraba;5;2612455;Santa Cruz;5
26013002615409;2601300;Barra de Guabiraba;5;2615409;Toritama;5
26013002606408;2601300;Barra de Guabiraba;5;2606408;Gravatá;4A
26013002616407;2601300;Barra de Guabiraba;5;2616407;Vitória de Santo Antão;3B
26014092611606;2601409;Barreiros;4A;2611606;Recife;1C
26014092614857;2601409;Barreiros;4A;2614857;Tamandaré;5
26014092610004;2601409;Barreiros;4A;2610004;Palmares;3B
26014092611903;2601409;Barreiros;4A;2611903;Rio Formoso;5
26014092613404;2601409;Barreiros;4A;2613404;São José da Coroa Grande;5
26014092600401;2601409;Barreiros;4A;2600401;Água Preta;5
26014092614204;2601409;Barreiros;4A;2614204;Sirinhaém;5
26015082611606;2601508;Belém de Maria;5;2611606;Recife;1C
26015082604106;2601508;Belém de Maria;5;2604106;Caruaru;2B
26015082610004;2601508;Belém de Maria;5;2610004;Palmares;3B
26015082605004;2601508;Belém de Maria;5;2605004;Cupira;5
26015082604205;2601508;Belém de Maria;5;2604205;Catende;5
26015082615409;2601508;Belém de Maria;5;2615409;Toritama;5
26015082600302;2601508;Belém de Maria;5;2600302;Agrestina;5
26015082602308;2601508;Belém de Maria;5;2602308;Bonito;5
26015082610202;2601508;Belém de Maria;5;2610202;Panelas;5
26015082608701;2601508;Belém de Maria;5;2608701;Lagoa dos Gatos;5
26016072611101;2601607;Belém do São Francisco;5;2611101;Petrolina;2C
26016072611606;2601607;Belém do São Francisco;5;2611606;Recife;1C
26016072612208;2601607;Belém do São Francisco;5;2612208;Salgueiro;3B
26016072605707;2601607;Belém do São Francisco;5;2605707;Floresta;4B
26016072603009;2601607;Belém do São Francisco;5;2603009;Cabrobó;5
26016072612604;2601607;Belém do São Francisco;5;2612604;Santa Maria da Boa Vista;5
26016072607406;2601607;Belém do São Francisco;5;2607406;Itacuruba;5
26016072613909;2601607;Belém do São Francisco;5;2613909;Serra Talhada;3A
26016072615409;2601607;Belém do São Francisco;5;2615409;Toritama;5
26017062604106;2601706;Belo Jardim;3B;2604106;Caruaru;2B
26017062611606;2601706;Belo Jardim;3B;2611606;Recife;1C
26017062610905;2601706;Belo Jardim;3B;2610905;Pesqueira;4A
26017062606002;2601706;Belo Jardim;3B;2606002;Garanhuns;2C
26017062612505;2601706;Belo Jardim;3B;2612505;Santa Cruz do Capibaribe;3B
26017062615409;2601706;Belo Jardim;3B;2615409;Toritama;5
26017062612406;2601706;Belo Jardim;3B;2612406;Sanharó;5
26017062614709;2601706;Belo Jardim;3B;2614709;Tacaimbó;5
26017062613008;2601706;Belo Jardim;3B;2613008;São Bento do Una;5
26017062601201;2601706;Belo Jardim;3B;2601201;Arcoverde;3A
26017062609600;2601706;Belo Jardim;3B;2609600;Olinda;1C
26018052613909;2601805;Betânia;5;2613909;Serra Talhada;3A
26018052611606;2601805;Betânia;5;2611606;Recife;1C
26018052601201;2601805;Betânia;5;2601201;Arcoverde;3A
