ID;UF_ORIGEM;MUN_ORIGEM;MUN_OR;NOME_ORIGEM;POP2018_O;COD_ARR_O;NOME_ARR_O;HIERAR_MUN_O;HIERAR_CID;NOME_HIERAR_CID;UF_DESTINO;MUN_DESTINO;MUN_DEST;NOME_DESTINO;POP2018_D;COD_ARR_D;NOME_ARR_D;HIERAR_MUN_D;HIERAR_CID_D;NOME_HIERAR_CID_D;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;IA_Q1;IA_Q2;IA_Q3;IA_Q4;IA_Q5;IA_Q6;IA_Q7;IA_Q8;IA_Q9;IA_Q10;PERC_LIG;IA;X_ORIGEM;Y_ORIGEM;X_DESTINO;Y_DESTINO
26003022611606;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;0;0;15;46.6666666667;0;0;26.6666666667;100;33.3333333333;0;0;0;3705.3;11527.6;0;0;6587.2;24702;8234;0;0.2216666667;5475.61;-35.9484;-8.4565;-34.8889;-8.0628
26003022605004;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2605004;2605004;Cupira;24041;;;Centro Local (5);5;Centro Local;0;0;0;0;0;6.6666666667;10;0;0;13.488372093;0;0;0;0;0;1646.8;2470.2;0;0;3331.8976744186;0.0301550388;744.8897674419;-35.9484;-8.4565;-35.9517;-8611
26003022600807;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2600807;2600807;Altinho;22959;;;Centro Local (5);5;Centro Local;0;0;0.3333333333;0;0;6.6666666667;0;0;0;5.4485049834;0;0;82.34;0;0;1646.8;0;0;0;1345.8897009967;0.012448505;307.5029700997;-35.9484;-8.4565;-36.0607;-8.4897
26003022613305;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2613305;2613305;São Joaquim do Monte;21314;;;Centro Local (5);5;Centro Local;0;0;1.6666666667;0;0;10;0;0;0;0;0;0;411.7;0;0;2470.2;0;0;0;0;0.0116666667;288.19;-35.9484;-8.4565;-35.8057;-8.4329
26003022604205;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2604205;2604205;Catende;42434;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;10.73089701;0;0;0;0;0;0;0;0;0;2650.746179402;0.010730897;265.0746179402;-35.9484;-8.4565;-35.7213;-8668
26003022601706;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2601706;2601706;Belo Jardim;76185;;;Centro Subregional B (3B);3B;Centro Subregional B;0;0;0;0;6.6666666667;0;0;0;0;0;0;0;0;0;1646.8;0;0;0;0;0;0.0066666667;164.68;-35.9484;-8.4565;-36.4203;-8.3344
26003022601508;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2601508;2601508;Belém de Maria;12023;;;Centro Local (5);5;Centro Local;0;0;0;0;0;0;0;0;0;5.5481727575;0;0;0;0;0;0;0;0;0;1370.5096345515;0.0055481728;137.0509634551;-35.9484;-8.4565;-35.8424;-8.6239
26003022606002;PE;2600302;2600302;Agrestina;24702;;;Centro Local (5);5;Centro Local;PE;2606002;2606002;Garanhuns;138983;;;Capital Regional C (2C);2C;Capital Regional C;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1235.1;0;0;0;0;5;123.51;-35.9484;-8.4565;-36.4962;-8.8911
26004012611606;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2611606;2611606;Recife;1637834;2611606;Arranjo Populacional do Recife/PE;Município integrante do Arranjo Populacional do Recife/PE - Metrópole (1C);1C;Metrópole;3.3333333333;8.3333333333;0;90;11.6666666667;31.6666666667;25;100;100;0;1215.1333333333;3037.8333333333;0;32808.6;4252.9666666667;11543.7666666667;9113.5;36454;36454;0;0.37;13487.98;-35.5197;-8.7079;-34.8889;-8.0628
26004012610004;PE;2600401;2600401;Água Preta;36454;;;Centro Local (5);5;Centro Local;PE;2610004;2610004;Palmares;62994;;;Centro Subregional B (3B);3B;Centro Subregional B;60;61.6666666667;85;0;46.6666666667;3.3333333333;36.6666666667;0;0;28.4090909091;21872.4;22479.9666666667;30985.9;0;17011.8666666667;1215.1333333333;13366.4666666667;0;0;10356.25;0.3217424242;11728.7983333333;-35.5197;-8.7079;-35.5849;-8.6807
