idfrom;from;idto;to;perc_lig;ia
2600500;Águas Belas;2606002;Garanhuns;0.5921180233;25576.5380171258
2600500;Águas Belas;2611606;Recife;0.2481481481;10718.7592592593
2600500;Águas Belas;2601201;Arcoverde;0.0620705664;2681.1381151346
2600500;Águas Belas;2607505;Itaíba;0.0266171464;1149.727638502
2600500;Águas Belas;2604106;Caruaru;0.0197823171;854.4971886929
2600609;Alagoinha;2610905;Pesqueira;0.4714414414;6861.3587387387
2600609;Alagoinha;2611606;Recife;0.1698198198;2471.5576576577
2600609;Alagoinha;2601201;Arcoverde;0.13;1892.02
2600609;Alagoinha;2604106;Caruaru;0.1246396396;1814.0053153153
2600609;Alagoinha;2616001;Venturosa;0.0659459459;959.7772972973
2600609;Alagoinha;2601706;Belo Jardim;0.0066666667;97.0266666667
2600609;Alagoinha;2612505;Santa Cruz do Capibaribe;5;72.77
2600609;Alagoinha;2602803;Buíque;0.0031531532;45.890990991
2600708;Aliança;2611606;Recife;0.4225925926;16216.9907407407
2600708;Aliança;2615300;Timbaúba;0.2262953423;8684.08376261
2600708;Aliança;2606200;Goiana;0.1183406072;4541.3208008395
2600708;Aliança;2604007;Carpina;0.0901550166;3459.6987610598
2600708;Aliança;2609501;Nazaré da Mata;0.0474193318;1819.7168562639
2600708;Aliança;2615508;Tracunhaém;0.0185304429;711.1057451528
2600708;Aliança;2604106;Caruaru;0.0074074074;284.2592592593
2600708;Aliança;2614501;Surubim;0.0055555556;213.1944444444
2600708;Aliança;2607653;Itambé;0.0037037037;142.1296296296
2600708;Aliança;2608909;Limoeiro;0.0037037037;142.1296296296
2600807;Altinho;2604106;Caruaru;0.7055562811;16198.8666568723
2600807;Altinho;2611606;Recife;0.2296296296;5272.0666666667
2600807;Altinho;2600302;Agrestina;0.0326622411;749.8923930787
2600807;Altinho;2606002;Garanhuns;0.0148148148;340.1333333333
2600807;Altinho;2606705;Ibirajuba;0.0088185149;202.4642833823
2600807;Altinho;2605004;Cupira;0.0037037037;85.0333333333
2600906;Amaraji;2611606;Recife;0.5199724518;11849.132231405
2600906;Amaraji;2605202;Escada;0.1283778966;2925.4755080214
2600906;Amaraji;2616407;Vitória de Santo Antão;0.0983333333;2240.82
2600906;Amaraji;2606408;Gravatá;0.0733333333;1671.12
2600906;Amaraji;2604106;Caruaru;0.0693333333;1579968
2600906;Amaraji;2611408;Primavera;0.0417112299;950.5155080214
2600906;Amaraji;2602902;Cabo de Santo Agostinho;0.0283057851;645.032231405
2600906;Amaraji;2610004;Palmares;0.0183333333;417.78
2600906;Amaraji;2604502;Chã Grande;0.0099659699;227.1045211473
2600906;Amaraji;2609402;Moreno;0.0066666667;151.92
2600906;Amaraji;2604007;Carpina;5;113.94
2600906;Amaraji;2611804;Ribeirão;0.0006666667;15192
2601003;Angelim;2606002;Garanhuns;0.5975765889;6616.367992684
2601003;Angelim;2611606;Recife;0.162962963;1804.3259259259
2601003;Angelim;2603702;Canhotinho;0.055647005;616.1236396891
2601003;Angelim;2604106;Caruaru;0.0462962963;512.5925925926
2601003;Angelim;2613206;São João;0.0371742112;411.592866941
2601003;Angelim;2610103;Palmeirina;0.0160951075;178.2050297211
2601003;Angelim;2611507;Quipapá;0.0083219021;92.1401005944
2601003;Angelim;2612455;Santa Cruz;0.0037037037;41.0074074074
2601052;Araçoiaba;2611606;Recife;0.4466666667;9072.6933333333
2601052;Araçoiaba;2604007;Carpina;285;5788.92
2601052;Araçoiaba;2606804;Igarassu;0.0816666667;1658.8133333333
2601052;Araçoiaba;2610707;Paulista;0.04;812.48
2601052;Araçoiaba;2600054;Abreu e Lima;0.0366666667;744.7733333333
2601052;Araçoiaba;2609600;Olinda;0.0233333333;473.9466666667
2601052;Araçoiaba;2613701;São Lourenço da Mata;0.0116666667;236.9733333333
2601052;Araçoiaba;2607752;Itapissuma;0.01;203.12
2601052;Araçoiaba;2610608;Paudalho;0.01;203.12
2601052;Araçoiaba;2608909;Limoeiro;0.0066666667;135.4133333333
2601052;Araçoiaba;2609501;Nazaré da Mata;0.0066666667;135.4133333333
2601052;Araçoiaba;2615508;Tracunhaém;5;101.56
2601052;Araçoiaba;2603454;Camaragibe;0.0033333333;67.7066666667
2601102;Araripina;2611606;Recife;195;16372.98
2601102;Araripina;2611101;Petrolina;0.174638009;14663.3057918552
2601102;Araripina;2609907;Ouricuri;0.1555354449;13059.3780995475
2601102;Araripina;2615607;Trindade;0.0239064857;2007.2841628959
2601102;Araripina;2612455;Santa Cruz;0.0147812971;1241.0968325792
2601102;Araripina;2604106;Caruaru;0.01;839.64
2601201;Arcoverde;2611606;Recife;0.5576711027;41180.664904943
2601201;Arcoverde;2604106;Caruaru;0.208995564;15433.0684283904
2601201;Arcoverde;2606002;Garanhuns;0.0866666667;6399.8133333333
2601201;Arcoverde;2613909;Serra Talhada;0.04;2953.76
2601201;Arcoverde;2610905;Pesqueira;0.0320659062;2367.8747782003
2601201;Arcoverde;2610806;Pedra;0.0310076046;2289.7255513308
2601201;Arcoverde;2616001;Venturosa;0.0135931559;1003.7730038023
2601201;Arcoverde;2606408;Gravatá;0.0116666667;861.5133333333
2601201;Arcoverde;2602803;Buíque;0.0066666667;492.2933333333
2601201;Arcoverde;2611101;Petrolina;0.0016666667;123.0733333333
2601300;Barra de Guabiraba;2604106;Caruaru;0.5321086556;7586.2731031308
2601300;Barra de Guabiraba;2611606;Recife;0.2956666667;4215.3196666667
2601300;Barra de Guabiraba;2602308;Bonito;0.0599171271;854.238480663
2601300;Barra de Guabiraba;2601904;Bezerros;0.0234493554;334.3174604052
2601300;Barra de Guabiraba;2610004;Palmares;0.0233333333;332.6633333333
2601300;Barra de Guabiraba;2603504;Camocim de São Félix;0.02106814;300.3684714549
2601300;Barra de Guabiraba;2604809;Cortês;0.018388582;262.1660128913
2601300;Barra de Guabiraba;2612000;Sairé;0.0077348066;110.2751381215
2601300;Barra de Guabiraba;2612455;Santa Cruz;5;71285
2601300;Barra de Guabiraba;2615409;Toritama;5;71285
2601300;Barra de Guabiraba;2606408;Gravatá;0.0033333333;47.5233333333
2601300;Barra de Guabiraba;2616407;Vitória de Santo Antão;0.0016666667;23.7616666667
2601409;Barreiros;2611606;Recife;0.6916666667;29431.8
2601409;Barreiros;2614857;Tamandaré;0.1236107877;5259.8862398137
2601409;Barreiros;2610004;Palmares;0.0683333333;2907.72
2601409;Barreiros;2611903;Rio Formoso;0.0345750873;1471.2391152503
2601409;Barreiros;2613404;São José da Coroa Grande;0.0199223904;847.7375552969
2601409;Barreiros;2600401;Água Preta;15;638.28
2601409;Barreiros;2614204;Sirinhaém;0.0126891735;539.9497089639
2601508;Belém de Maria;2611606;Recife;0.3016666667;3626.9383333333
2601508;Belém de Maria;2604106;Caruaru;0.2181967213;2623.3791803279
2601508;Belém de Maria;2610004;Palmares;0.1534972678;1845.4976502732
2601508;Belém de Maria;2605004;Cupira;145;1743335
2601508;Belém de Maria;2604205;Catende;0.1300546448;1563.6469945355
2601508;Belém de Maria;2615409;Toritama;0.0166666667;200.3833333333
2601508;Belém de Maria;2600302;Agrestina;0.0124590164;149.7947540984
2601508;Belém de Maria;2602308;Bonito;0.0091256831;109.7180874317
2601508;Belém de Maria;2610202;Panelas;0.0083333333;100.1916666667
2601508;Belém de Maria;2608701;Lagoa dos Gatos;5;60115
2601607;Belém do São Francisco;2611101;Petrolina;0.3636604137;7537.9530543531
2601607;Belém do São Francisco;2611606;Recife;0.25;5182
2601607;Belém do São Francisco;2612208;Salgueiro;0.1722222222;3569.8222222222
2601607;Belém do São Francisco;2605707;Floresta;0.104954305;2175.4928330928
2601607;Belém do São Francisco;2603009;Cabrobó;0.0219336219;454.6401154401
2601607;Belém do São Francisco;2612604;Santa Maria da Boa Vista;0.0210678211;436.6937950938
2601607;Belém do São Francisco;2607406;Itacuruba;0.0185185185;383.8518518519
2601607;Belém do São Francisco;2613909;Serra Talhada;0.0148148148;307.0814814815
2601607;Belém do São Francisco;2615409;Toritama;0.0018518519;38.3851851852
2601706;Belo Jardim;2604106;Caruaru;0.544967397;41518.3411384977
